username,email_id,password,Support Ticket Sentiment,Feedback Sentiment,Subscription Plan,Course Completion Rate,Survey Response (1-5),Login Frequency (per month),Time Spent per Session (mins),Forum Participation,Quiz Participation Rate,Assignment Submission Rate,Video Watch Completion Rate
user9801,user1087@example.com,pass6031,positive,negative,basic,71,1,19,87,16,47.94,44,77
user1804,user1091@example.com,pass43,positive,negative,basic,67,4,18,88,22,41.95,76,53
user2647,user1247@example.com,pass8292,positive,negative,standard,63,3,13,93,28,99.78,37,82
user6477,user1291@example.com,pass7024,neutral,negative,basic,49,4,16,27,6,84.19,91,98
user2329,user1389@example.com,pass9954,negative,positive,standard,54,3,23,47,4,43.14,92,29
user6029,user1424@example.com,pass9031,neutral,positive,standard,77,4,29,101,5,50.48,22,60
user2582,user169@example.com,pass3102,negative,negative,standard,3,1,12,80,37,27.02,10,69
user4699,user1924@example.com,pass5524,neutral,neutral,premium,8,1,29,84,49,4.23,24,9
user8575,user1929@example.com,pass3916,negative,positive,standard,19,3,3,95,11,90.97,92,84
user7245,user1977@example.com,pass8148,negative,positive,standard,90,2,10,46,29,3.72,43,7
user4664,user1991@example.com,pass5961,negative,neutral,standard,8,5,10,98,15,5.17,32,47
user9882,user2124@example.com,pass973,positive,positive,basic,28,4,22,54,6,31.23,18,98
user989,user2218@example.com,pass8122,negative,negative,standard,98,2,18,5,49,57.56,97,14
user5732,user2305@example.com,pass4327,negative,neutral,premium,28,4,19,7,42,97.44,37,92
user405,user2325@example.com,pass409,negative,negative,standard,47,4,7,108,24,84.7,83,60
user3616,user2355@example.com,pass925,positive,negative,basic,70,4,24,69,40,49.18,5,75
user1277,user2458@example.com,pass8458,negative,positive,basic,86,5,2,61,16,45.44,32,23
user9834,user2566@example.com,pass3325,positive,negative,standard,89,3,20,102,48,83.42,33,15
user7568,user2710@example.com,pass844,negative,positive,basic,30,1,14,13,17,25.68,27,60
user1907,user2725@example.com,pass7905,neutral,neutral,basic,62,4,30,78,19,5.77,15,57
user292,user2733@example.com,pass2790,negative,neutral,standard,21,4,16,81,8,29.78,98,1
user5700,user32@example.com,pass3058,negative,positive,premium,16,2,27,72,44,40.04,34,50
user1283,user3201@example.com,pass2153,neutral,positive,basic,83,1,9,115,42,29.33,97,99
user5343,user3331@example.com,pass623,neutral,negative,premium,57,1,10,75,40,55.17,38,23
user5323,user3530@example.com,pass1679,positive,negative,standard,5,2,10,86,48,89.55,63,43
user4915,user3548@example.com,pass2994,negative,neutral,basic,35,4,4,78,31,35.58,90,45
user9306,user3574@example.com,pass9953,positive,negative,premium,21,1,5,42,8,3.64,70,38
user4150,user3689@example.com,pass5995,positive,negative,standard,7,3,8,92,7,38.42,52,44
user1520,user3715@example.com,pass4015,positive,neutral,standard,34,5,1,85,10,55.7,20,35
user1794,user3834@example.com,pass3791,positive,negative,premium,76,4,5,80,20,32.94,45,27
user7301,user3852@example.com,pass7355,negative,negative,standard,6,5,14,51,40,47.55,1,64
user3715,user39@example.com,pass9050,negative,positive,premium,3,5,25,20,11,4.82,57,70
user6476,user3910@example.com,pass123,positive,negative,standard,60,5,18,30,45,88.08,73,97
user7613,user4043@example.com,pass7376,negative,neutral,standard,45,1,28,49,13,41.05,26,5
user1957,user409@example.com,pass6175,positive,positive,premium,89,3,5,15,7,35.26,36,72
user4722,user4257@example.com,pass7119,neutral,neutral,standard,84,3,15,69,20,71.09,37,69
user7702,user4265@example.com,pass8220,positive,positive,premium,65,3,3,28,34,72.6,62,92
user3536,user4371@example.com,pass1246,neutral,neutral,premium,40,1,26,28,18,95.44,70,63
user5213,user4624@example.com,pass7482,negative,negative,standard,24,3,24,51,24,13.89,23,76
user2345,user4666@example.com,pass6294,positive,positive,premium,43,1,14,91,3,86.1,16,18
user5818,user4746@example.com,pass6274,positive,positive,basic,36,5,21,61,5,86.86,8,79
user6764,user4775@example.com,pass3582,negative,positive,standard,41,3,6,51,36,81.25,90,4
user9848,user4824@example.com,pass4576,positive,positive,standard,68,3,12,54,5,18.72,64,66
user1015,user4872@example.com,pass1315,neutral,negative,standard,94,4,13,17,39,56.35,48,72
user1249,user4894@example.com,pass722,positive,neutral,standard,5,3,22,103,3,90.47,36,7
user6703,user5082@example.com,pass5302,neutral,neutral,premium,99,3,10,35,16,21.93,16,14
user3873,user5297@example.com,pass4866,positive,positive,basic,7,3,11,31,15,80.36,15,34
user1130,user5401@example.com,pass3613,neutral,positive,premium,84,1,8,102,32,83.07,28,88
user4133,user5479@example.com,pass4996,positive,positive,basic,18,5,11,104,30,29.48,64,33
user3195,user5559@example.com,pass8211,negative,positive,basic,38,5,19,30,7,56.92,41,36
user3341,user5792@example.com,pass8936,positive,positive,standard,42,1,5,69,5,35.47,49,39
user5687,user5800@example.com,pass1940,neutral,negative,basic,2,4,8,30,34,87.85,41,37
user3705,user5822@example.com,pass7993,neutral,positive,standard,1,3,12,65,46,99.19,26,32
user2099,user586@example.com,pass6634,neutral,positive,basic,63,4,15,43,32,12.53,71,20
user871,user6016@example.com,pass7465,positive,negative,basic,86,4,22,67,31,11.76,70,18
user8012,user605@example.com,pass8990,neutral,positive,standard,43,5,6,31,43,12.14,99,62
user5350,user6166@example.com,pass4783,negative,neutral,premium,89,1,10,3,32,71.41,69,29
user5940,user6167@example.com,pass3016,negative,negative,premium,58,1,16,54,50,98.12,92,65
user4740,user6239@example.com,pass6972,negative,positive,basic,37,4,4,75,5,12.26,27,1
user1431,user6587@example.com,pass8642,negative,neutral,standard,73,4,19,104,27,37.95,29,29
user8496,user6622@example.com,pass7620,positive,positive,premium,93,3,4,96,45,48.02,72,15
user7304,user6643@example.com,pass1305,negative,positive,standard,4,3,14,83,27,27.77,78,8
user1689,user6657@example.com,pass8217,neutral,neutral,basic,34,2,17,105,38,74.87,47,11
user4970,user6994@example.com,pass59,positive,negative,standard,9,2,29,115,49,97.82,97,87
user4630,user7082@example.com,pass1516,negative,positive,standard,18,5,29,11,30,25.2,45,51
user2249,user7117@example.com,pass8838,neutral,positive,premium,62,1,25,89,43,61.04,49,60
user3710,user7134@example.com,pass4540,neutral,neutral,basic,36,4,3,69,13,48.4,64,75
user4500,user7168@example.com,pass2338,neutral,negative,premium,33,5,22,90,38,97.28,60,9
user3273,user7203@example.com,pass6194,positive,positive,basic,5,2,12,5,47,60.86,26,45
user5813,user7336@example.com,pass9244,negative,neutral,standard,99,4,21,25,21,99.19,76,81
user4497,user7354@example.com,pass3280,negative,neutral,standard,56,5,25,50,40,14.01,29,5
user4270,user7426@example.com,pass4319,positive,negative,basic,100,5,20,53,46,85.5,52,3
user4681,user7476@example.com,pass3337,negative,neutral,standard,42,5,23,82,2,46.99,26,90
user703,user7578@example.com,pass5780,negative,negative,premium,43,3,30,71,2,26.67,22,33
user5656,user7584@example.com,pass951,neutral,positive,premium,74,4,18,75,1,96.37,76,91
user7964,user7602@example.com,pass4119,positive,negative,premium,80,1,4,32,7,68.41,3,10
user9450,user7625@example.com,pass9771,negative,neutral,standard,33,1,20,114,40,80.25,62,68
user5114,user7821@example.com,pass3763,negative,negative,basic,1,4,6,120,7,38.63,52,43
user6055,user7848@example.com,pass1072,neutral,negative,standard,18,4,1,117,5,6.59,1,87
user6862,user806@example.com,pass3441,negative,negative,standard,77,4,7,113,26,34.73,19,91
user1421,user8089@example.com,pass6184,negative,negative,standard,38,4,25,80,28,7.81,67,12
user3201,user8143@example.com,pass1111,neutral,neutral,premium,35,2,13,28,40,26.59,93,85
user3569,user8214@example.com,pass361,positive,negative,basic,69,4,21,14,23,57.58,52,85
user4197,user8255@example.com,pass8680,positive,positive,premium,78,5,8,61,15,20.32,10,88
user7904,user8345@example.com,pass8016,negative,neutral,basic,100,4,24,83,13,8.39,62,87
user4634,user8352@example.com,pass7856,negative,positive,standard,30,5,23,4,7,12.81,22,70
user2836,user8371@example.com,pass3347,neutral,positive,standard,29,5,6,66,7,20.8,60,40
user6199,user8523@example.com,pass4015,negative,neutral,premium,31,5,9,103,37,29.03,22,25
user955,user8545@example.com,pass9859,negative,positive,basic,69,4,8,31,41,54.67,26,68
user5735,user8565@example.com,pass5619,neutral,negative,premium,72,1,29,90,50,41.23,7,12
user7962,user8904@example.com,pass635,negative,neutral,basic,21,2,17,9,14,27.48,52,80
user7192,user8991@example.com,pass3376,positive,positive,premium,83,5,6,10,11,41.3,39,70
user7299,user9004@example.com,pass3122,positive,negative,basic,9,4,10,50,22,71.19,29,30
user4542,user9265@example.com,pass2700,negative,neutral,standard,36,2,13,15,31,88.69,59,29
user6485,user9271@example.com,pass6899,positive,neutral,standard,96,4,24,81,7,59.95,57,6
user6967,user9431@example.com,pass6257,neutral,negative,basic,10,5,6,38,42,32.31,8,44
user4553,user9509@example.com,pass3887,neutral,neutral,basic,98,2,1,110,39,37.69,53,54
user353,user9568@example.com,pass6780,negative,negative,basic,62,2,18,17,48,10.94,68,10
user5662,user973@example.com,pass7881,negative,positive,standard,57,3,28,5,1,77.12,82,79
user345,user9786@example.com,pass7895,neutral,positive,standard,2,5,5,24,10,31.31,95,80
